,Block Name,Point ID,CoordinateX,CoordinateY,CoordinateZ,Magnitude_Velocity_Dataset_V_MAG_N_1_1_0,Magnitude_Vorticity_Dataset_VORTICITY_MAG_N_1_1_0,Points_0,Points_1,Points_2,Points_Magnitude,Result_0,Result_1,Result_2,Result_Magnitude,X_Component_Velocity_Dataset_V_X_N_1_1_0,Y_Component_Velocity_Dataset_V_Y_N_1_1_0,Z_Component_Velocity_Dataset_V_Z_N_1_1_0,Vortex
4158,x_plane_Step_1_Incr_0,2570,3.14159,4.48799,5.48532,0.868744,0.843202,3.14159,4.48799,5.48532,7.75245,1.65088e-08,-0.792286,-0.355661,0.868454,1.65088e-08,-0.792286,-0.355661,0.0
4159,x_plane_Step_1_Incr_0,2571,3.14159,4.58772,5.38559,0.855862,0.910469,3.14159,4.58772,5.38559,7.74089,2.39871e-08,-0.76376,-0.385464,0.855518,2.39871e-08,-0.76376,-0.385464,0.0
4160,x_plane_Step_1_Incr_0,2572,3.14159,4.68746,5.28586,0.835782,0.978388,3.14159,4.68746,5.28586,7.73189,3.23293e-08,-0.726333,-0.412394,0.835242,3.23293e-08,-0.726333,-0.412394,0.0
4161,x_plane_Step_1_Incr_0,2573,3.14159,4.78719,5.18612,0.806765,1.05654,3.14159,4.78719,5.18612,7.72545,4.79569e-08,-0.678707,-0.434217,0.805722,4.79569e-08,-0.678707,-0.434217,0.0
4162,x_plane_Step_1_Incr_0,2574,3.14159,4.88692,5.08639,0.766579,1.0942,3.14159,4.88692,5.08639,7.72159,7.17152e-08,-0.620948,-0.445713,0.764354,7.17152e-08,-0.620948,-0.445713,0.0
4163,x_plane_Step_1_Incr_0,2575,3.14159,4.98666,4.98666,0.712263,1.04893,3.14159,4.98666,4.98666,7.7203,9.86086e-08,-0.554563,-0.439801,0.707789,9.86086e-08,-0.554563,-0.439801,0.0
4164,x_plane_Step_1_Incr_0,2576,3.14159,5.08639,4.88692,0.642253,0.895505,3.14159,5.08639,4.88692,7.72159,1.17475e-07,-0.483226,-0.411282,0.634555,1.17475e-07,-0.483226,-0.411282,0.0
4165,x_plane_Step_1_Incr_0,2577,3.14159,5.18612,4.78719,0.561122,0.639675,3.14159,5.18612,4.78719,7.72545,1.26425e-07,-0.415525,-0.36045,0.550077,1.26425e-07,-0.415525,-0.36045,0.0
4166,x_plane_Step_1_Incr_0,2578,3.14159,5.28586,4.68746,0.480055,0.424952,3.14159,5.28586,4.68746,7.73189,1.22465e-07,-0.360754,-0.296896,0.467216,1.22465e-07,-0.360754,-0.296896,0.0
4167,x_plane_Step_1_Incr_0,2579,3.14159,5.38559,4.58772,0.388991,0.956926,3.14159,5.38559,4.58772,7.74089,1.18898e-07,-0.293451,-0.23638,0.376814,1.18898e-07,-0.293451,-0.23638,0.0
